dataset,muscle,mvc,participant,test
Landry2016,upp. trap.,0.05001971139704654,0,5
Landry2016,upp. trap.,0.18953955304721085,0,8
Landry2016,upp. trap.,0.0189112373287372,0,9
Landry2016,upp. trap.,0.018056186131036087,0,10
Landry2016,upp. trap.,0.04597342210121369,0,15
Landry2016,low. trap.,0.2208635532952009,0,2
Landry2016,low. trap.,0.33000295619673725,0,3
Landry2016,low. trap.,0.3372228409595316,0,4
Landry2016,low. trap.,0.12125207791910472,0,5
Landry2016,low. trap.,0.22433789362858536,0,8
Landry2016,low. trap.,0.2195280510204822,0,9
Landry2016,low. trap.,0.06129110967239744,0,10
Landry2016,low. trap.,0.09238177593325864,0,15
Landry2016,ant. delt.,0.10434301746659524,0,2
Landry2016,ant. delt.,0.2774742596238083,0,3
Landry2016,ant. delt.,0.30826862595980087,0,4
Landry2016,ant. delt.,0.0124045860938415,0,5
Landry2016,ant. delt.,0.1225199396586993,0,8
Landry2016,ant. delt.,0.012357376749596199,0,9
Landry2016,ant. delt.,0.009388729178991594,0,10
Landry2016,ant. delt.,0.24867997417921855,0,15
Landry2016,mid. delt.,0.16542723067045334,0,2
Landry2016,mid. delt.,0.11723947486607589,0,3
Landry2016,mid. delt.,0.12796695918957776,0,4
Landry2016,mid. delt.,0.06329920096731538,0,5
Landry2016,mid. delt.,0.07372809540365124,0,8
Landry2016,mid. delt.,0.06491099963061953,0,9
Landry2016,mid. delt.,0.01167001368162806,0,10
Landry2016,mid. delt.,0.09699011328001403,0,15
Landry2016,post. delt.,0.19590830370314505,0,2
Landry2016,post. delt.,0.14979624558785237,0,3
Landry2016,post. delt.,0.15687264659029787,0,4
Landry2016,post. delt.,0.21781216171350393,0,5
Landry2016,post. delt.,0.12142315335025192,0,8
Landry2016,post. delt.,0.22974448035774786,0,9
Landry2016,post. delt.,0.060039666632628455,0,10
Landry2016,post. delt.,0.061214504103405176,0,15
Landry2016,ser. ant.,0.09678244496672536,0,2
Landry2016,ser. ant.,0.14419831633636326,0,3
Landry2016,ser. ant.,0.14265702192787763,0,4
Landry2016,ser. ant.,0.03549369191159504,0,5
Landry2016,ser. ant.,0.019364340298538486,0,8
Landry2016,ser. ant.,0.054570113985738675,0,9
Landry2016,ser. ant.,0.02442816205584971,0,10
Landry2016,ser. ant.,0.19816686518921087,0,15
Landry2016,supra.,0.2241240308781246,0,2
Landry2016,supra.,0.2706001002925523,0,3
Landry2016,supra.,0.34297316798685806,0,4
Landry2016,supra.,0.19801608616024302,0,5
Landry2016,supra.,0.13023790783477474,0,8
Landry2016,supra.,0.06551602096273228,0,9
Landry2016,supra.,0.027422560936140504,0,10
Landry2016,supra.,0.1477320837794674,0,15
Landry2016,infra.,0.0289775560573765,0,2
Landry2016,infra.,0.018020198207153497,0,3
Landry2016,infra.,0.01601658258494167,0,4
Landry2016,infra.,0.0029336748723986063,0,5
Landry2016,infra.,0.011210276864796375,0,8
Landry2016,infra.,0.4247818866677996,0,9
Landry2016,infra.,0.002792986105545245,0,10
Landry2016,infra.,0.03387929610129048,0,15
Landry2016,subscap.,0.026480339961607022,0,2
Landry2016,subscap.,0.029478586907259092,0,3
Landry2016,subscap.,0.03733077938865379,0,4
Landry2016,subscap.,0.021603426833304212,0,5
Landry2016,subscap.,0.05375132132811969,0,8
Landry2016,subscap.,0.019747862744955345,0,9
Landry2016,subscap.,0.017981617278493976,0,10
Landry2016,subscap.,0.022619758113915776,0,15
Landry2016,upp. trap.,0.00023729320423334225,1,0
Landry2016,upp. trap.,0.0003312102089525086,1,2
Landry2016,upp. trap.,0.00037195493621726866,1,3
Landry2016,upp. trap.,0.00015309393539616404,1,4
Landry2016,upp. trap.,4.884968169925944e-05,1,5
Landry2016,upp. trap.,5.241613995771987e-05,1,7
Landry2016,upp. trap.,0.00011314690918118303,1,8
Landry2016,upp. trap.,2.2583200890492918e-05,1,9
Landry2016,upp. trap.,2.3904900366258878e-05,1,10
Landry2016,upp. trap.,0.0001127068154843003,1,13
Landry2016,upp. trap.,3.81420234066459e-05,1,15
Landry2016,low. trap.,0.0001935121450026649,1,0
Landry2016,low. trap.,0.00018224983661769564,1,2
Landry2016,low. trap.,0.00017535203853761048,1,3
Landry2016,low. trap.,0.00014495934010496335,1,4
Landry2016,low. trap.,7.230987519707277e-05,1,5
Landry2016,low. trap.,4.907672918253999e-05,1,7
Landry2016,low. trap.,0.00016933454531659978,1,8
Landry2016,low. trap.,0.00018200701476251438,1,9
Landry2016,low. trap.,9.848549164604717e-06,1,10
Landry2016,low. trap.,0.00010832979500189369,1,13
Landry2016,low. trap.,0.00013717738154190237,1,15
Landry2016,ant. delt.,0.00031431568139237255,1,0
Landry2016,ant. delt.,4.072372240711e-05,1,2
Landry2016,ant. delt.,0.0002174612122348896,1,3
Landry2016,ant. delt.,0.00026239217342027675,1,4
Landry2016,ant. delt.,1.6949205958039065e-05,1,5
Landry2016,ant. delt.,1.64538487900949e-05,1,7
Landry2016,ant. delt.,0.0001752692775533511,1,8
Landry2016,ant. delt.,1.6960495084795063e-05,1,9
Landry2016,ant. delt.,6.395192576125974e-06,1,10
Landry2016,ant. delt.,0.0001426000056235619,1,13
Landry2016,ant. delt.,0.0001355493733794301,1,15
Landry2016,mid. delt.,0.00015633946854860768,1,0
Landry2016,mid. delt.,0.00014589141188364431,1,2
Landry2016,mid. delt.,0.00011399076542244774,1,3
Landry2016,mid. delt.,0.00015341596657923712,1,4
Landry2016,mid. delt.,9.699588715502059e-05,1,5
Landry2016,mid. delt.,1.0058690333570277e-05,1,7
Landry2016,mid. delt.,8.749503170880847e-05,1,8
Landry2016,mid. delt.,6.509223110759871e-05,1,9
Landry2016,mid. delt.,2.060861487131325e-05,1,10
Landry2016,mid. delt.,1.8989359309438062e-05,1,13
Landry2016,mid. delt.,0.00011499791781737631,1,15
Landry2016,post. delt.,6.127362996667502e-05,1,0
Landry2016,post. delt.,0.00018328009077297884,1,2
Landry2016,post. delt.,6.216885184676293e-05,1,3
Landry2016,post. delt.,7.702431806951712e-05,1,4
Landry2016,post. delt.,0.0001976390634758797,1,5
Landry2016,post. delt.,2.222707481945385e-05,1,7
